OrderID|Description|Partcode|Qty|Unit|Value
93341|6215 bearing[manfcode6215][manf=FAG][mac|43989|6|ea|181.02
36199|6215 bearing[manfcode6215][manf=FAG][mac|43925|1|Ea|341.8
60646|6221 bearing[manfcode6221][manf=FAG][mac|43952|Ea|949.74|
88325|6221 bearing[manfcode6221][manf=FAG][mac|43952|ft|745.78|
93345|(DSCNTD) 6305-2ZR bearing - BALL. Make -|43869|ea|181.02|
60646|(DSCNTD) 6305-ZR bearing - BALL. Make -|5092AA-200N|Ea|949.74|
70863|(DSCNTD) 6307-C3 bearing - . Make - FAG.|44028|each|31.75|
19720|(DSCNTD) 6317-ZZ-317PP bearing - BALL. M|43970|Ea|342.43|
19724|(DSCNTD)7012C bearing|44073|Ea|342.43|
80442|(DSCNTD) 7205BTP bearing - BALL. Make -|43833|Ea|4.48|
42788|7219B.MP.UA bearing[manfcode7219B.MP.UA] - Timken or SKF, RHP|43990|1|Ea|362.96
88325|7302B bearing|43926|Ea|745.78|
42788|ANG ContaCT bearing, 7224-B-TVP-UO:FAG|43953|Ea|362.96|
60646|(DSCNTD)B7004-C-T-P4S-UL bearing FAG|43953|Ea|1515.84|
88325|(DSCNTD)B7006C bearing|43870|1|Ea|1274.24
93345|B71910CTPA.P4.UL FAG bearing|44408|Ea|342.43|
60646|B7210E bearing|44344|1|Ea|341.8
70863|(DSCNTD)Ball bearing 115DR HOFF 9414 420|44371|Ea|362.96|
19720|Ball bearing 1206 FAG 1206|44371|1|Ea|745.78
19724|Ball bearing 205SZZG 9076 6205 2RS NR 62|44288|14|ft|745.78
80442|bearing 22212 E|1633WZ|Pack|1515.84|
42788|(DSCNTD)IGUS Ball bearing 22212 E/P5 0089 136|44447|ft|342.43|
88325|Ball bearing 22214 E/P5 136 018 22214ES|44389|11|Ea|949.74
42788|bearing 3201[manfcode=3201][manf=FAG][ma|44492|Ea|362.96|
60646|Ball bearing 6220C3(PREHEATER) MACH=FAG|44252|6|ea|181.02
88325|Ball bearing 6220C3(PREHEATER) MACH=FAG|153027|1|Ea|341.8
93345|Ball bearing 7218 MPUA 20583 1116 3302 (|44409|Ea|949.74|
60646|Ball bearing 7218 MPUA 20583 1116 3302 (|44345|ft|745.78|
70863|Ball bearingS 6303 ZR 25534 1116 2378 00|44372|ea|181.02|
19720|Ball bearingS 6303 ZR 25534 1116 2378 00|44372|Ea|949.74|
19724|(DSCNTD)BALLbearing GROOVED 90 X 70 X 10|44289|each|31.75|
80442|BALLbearing GROOVED 90 X 70 X 10MM|321AV-22|Ea|342.43|
42788|bearing - FAG EE9, C3. (NO SUBSTITUTE).|44448|Ea|342.43|
88325|bearing - FAG EE9, C3. (NO SUBSTITUTE).|44390|Ea|4.48|
42788|bearing (JKO S020) (SLITTER/SM39ER) MACH|44493|1|Ea|362.96
60646|bearing (JKO S030) (SLITTER/SM39ER) (might be skf)|44253|Ea|745.78|
88325|bearing (JKO S030) (SLITTER/SM39ER)|44410|Ea|362.96|
93345|(DSCNTD)bearing|44346|Ea|1515.84|
60646|bearing 1 1/8in|44373|1|Ea|1274.24
70863|bearing 1 1/8in|44373|Ea|342.43|
19720|bearing 1206 K TVH C3|44290|1|Ea|341.8
19724|bearing 1211 K.TV.C3 FAG|44909|Ea|362.96|
80442|bearing 130DD 294120 FAG|44845|1|Ea|745.78
25030|BEARINGS SNR US206G2  Rollon/ Automotion Components L1918.CPN18-2Z|43500|Pack|1515.84|
55955|C210 INOX 2RS bearing stainless steel   NA NA|43436|Ea|1274.24|
19723|SPHERICAL ROLLER BEARING 21314 E COATING CELL RHC COATING CELL|43463|ft|342.43|
19727|Filling box wheel bearing  SKE Solutions DKK5.00066|43463|ft|342.43|
93348|Pallet circulation roller bearing NP60 RHP NP60 EC|43380|ea|181.02|
70866|Pallet stop arm bearing  Rexworth MNR R162472220|43392|1|each|31.75
88328|TIMKEN BEARING (WHEEL) Q2019-058 Sheen Spark Q2019-058|43539|ft|745.78|
22655|FYTWK30YTH-*SKF cancelled po do not use this line cancelled po do not use this line cancelled po do not use this line|43481|Ea|316.58|
74609|7216 bep Bearing   N/A N/A|43584|Ea|6.76|
84723|SKF TIH220M/MV large bearing induction heater  LJ1.1/8-2ZJ RHP LJ1.1/8.ZZ|43344|Ea|1228.65|
93344|Bearing. 6306-*SKF Bearing N/A N/A|152119|ea|181.02|
60645|Pilow box bearing  N/A packaging automation B00113|43501|11|Ea|49.74
25030|Thrust bearing LT1 1/2 UCF212-FSB FSB UCF212-FSB|43437|Ea|1515.84|
55955|SPHERICAL ROLLER BEARING 22210 E X-ray repair RHC X-ray repair|43464|Ea|1274.24|
19723|seal oil lip 25mm ID 52mm OD 7mm thick Winkel W-4.056 linear bearings Winkel W-A.056|43464|Ea|342.43|
19727|FLANGED BEARING bearing  multivac  78723025303|43381|Ea|342.43|
93348|FLANGED BEARING bearing  multivac  na|43393|1|Ea|181.02
25030|BEARING,CAM FOLLOWER ZZ-CON024 GEA 6000405|43540|Pack|1515.84|
19727|Pillow Block 6982-RL210219 BRINKMANN 6982-RL210219|43482|ft|342.43|
60649|SKF Bearings 63004-2RS1  N/A N/A|43585|Ea|949.74|
42791|2 off bearings as per attached quote 65X90X10HMSA10V SKF 65x90x10mm TC/R23|43345|Ea|362.96|
88328|bearings HK35162RS NA NA|43502|ft|745.78|
22655|QTE0208176-SN28-130-120-290 TIMKEN ROLLON BEARING 6001-2RSH-*SKF skf 6001 2rs|43438|Ea|316.58|
74609|P207 Plumb / Pillow block bearing SNP20  RHP SNP20|43465|2|Ea|6.76
25303|SPHERICAL ROLLER BEARING 22216 EK FASTEMS RHC FASTEMS|43465|Ea|675.01|
88328|Split Roller Bearing MBO03016 interfood MBO03016|43382|Ea|745.78|
25030|Split Roller Bearing carriage  interfoods  na|44001|Ea|1515.84|
55955|Bearing Cartridge RD-17Y4JABNCD RL: 838;AGL: 892  Interoll N/A|43937|1|Ea|1274.24
19723|Bearing Cartridge  Ishida 3727-05 (180-2521)|43964|Ea|342.43|
36202|Split Roller Bearing XSP00000739 NA NA|43964|1|Ea|341.8
42791|Split Roller Bearing  Taxi NA NA|43881|Ea|362.96|
88328|DC Tool linear bearing rail z253070804 Bearing Factors z253070804|43893|1|Ea|745.78
88328|2 off bearings as per quote 50X72X8HMSA10V SKF 50x72x8mm TC / R23|44040|14|ft|745.78
25030|16FC30DEC-*RHP N/A Burtech Precision J17917|43982|Pack|1515.84|
19727|Linear bearing z2530070803 Bearing Factors z2530070803|44085|ft|342.43|
60649|Bearing Bush  16004-SKF 160042Z 160042Z|43845|11|Ea|949.74
42791|SKF induction bearing heater 063.006.281 REISER 063.006.281|152620|Ea|362.96|
93344|Radial Pneumatic Shaft Seal CRDSNU-40 WSM-1214-12 WSM-1214-12 WSM-1214-12|44002|6|ea|181.02
36202|29488EM:SKF CARRIAGE  CARRIAGE|43938|1|Ea|341.8
60649|23080CC/W33:SKF SERVICE DOR DOR job number 181519|43965|Ea|949.74|
88328|INA BEARING 1671-294-10 Bosch Rexroth 1671-294-10|43965|ft|745.78|
93348|HK2512 needle bearing 70MMX1000PB1 BRONZE BRAMMER TMPQ-BEARING-BEAR|43882|ea|181.02|
60649|Bearing Housing, INA, 01ME05 65620117300 BIZERBA 65620117300|43894|Ea|949.74|
70866|SKF bearings 22211 EK/C3 W33 LPB2CAS-NEUTRAL NEUTRAL LPB2CAS-NEUTRAL|44041|each|31.75|
19723|Bearing NP 70 UCF206-FS Bearing N/A N/A|43983|Ea|342.43|
19727|Bearing GE 50  N/A N/A INA|44086|Ea|342.43|
80445|Bearing Bush 16004-ZZ 16004ZZ 16004ZZ|43846|Ea|4.48|
42791|6208 BEARING  SFM 0410200|44003|1|Ea|362.96
88328|Bearing SC25  N/A N/A|43939|Ea|745.78|
42791|Bearing NP 70  N/A N/A|43966|Ea|362.96|
60649|Bearing GE 50 65483002701 bizerba 65483002701|43966|Ea|1515.84|
88328|REPAIR- L6 DRUM MOTOR ST/ST KN 500LG WSM-1416-15 WSM-1416-15 WSM-1416-15|43883|1|Ea|1274.24
93348|UCS204-012LD1NR ; INSERT BEARING MOUNTED UNIT BCB-0116 CROSS ROLLER BEARING MATSUURA QLC1903-01|44421|Ea|342.43|
60649|Bearing 2525265 Accraply 2525265|44357|1|Ea|341.8
70866|Bearing CML10 FK bearings  CML10|44384|Ea|362.96|
19723|13mm 1960 IWRC 1-LEG WRS E30TAB06DB0 YAMAZAKI  E30TAB06DB0|44384|1|Ea|745.78
19727|40mm 1960 IWRC 1-LEG WRS ZE3873FCM161 ZE3873FCM161 ZE3873FCM161|44396|14|ft|745.78
80445|bearing inserts 6638Y BAB001 BABCOCK WANSON (UK) LTD 6638Y|44408|Pack|1515.84|
42791|ER-24K  Bearings EDM1F-MQ GLENFARROW EDM1F-MQ|44460|ft|342.43|
88328|N308 STEEL CAGE ROLLER BEARING gir15-do ina GIR15-do|44402|11|Ea|949.74
42791|NATR50 ROLLER BEARING  MSM-1218-15 Igus MSM-1218-15|44505|Ea|362.96|
60649|6308 METRIC BALL BEARING  HK2520 INA HK 2520|44265|6|ea|181.02
88328|30210 TAPER BEARING 5596294-00 HAYLEY 5596294-00|153040|1|Ea|341.8
93348|50 x 399mm troughing rollers  SKF-TIH220M/MV  SKF TIH220M/MV  SKF TIH220M/MV|44422|Ea|949.74|
60649|Bearings HK35162RS NA NA|44358|ft|745.78|
70866|repair of motor ref 7352/19 ronnie roux 6205-2Z/C3 SKF 6205 zz c4|44385|ea|181.02|
19723|bearings 4074116 NA NA|44385|Ea|949.74|
19727|BEARING HOUSING TBA NA NA|44302|each|31.75|
80445|Line 1 roller MB/11200 6203-2RSH-SKF SKF 6203-2RSH-SKF|44314|Ea|342.43|
42791|6404.c3 bearing  NSK 6020 DDU|44461|Ea|342.43|
88328|6404.c3 02B90MMGR TBA TBA|44403|Ea|4.48|
42791|SKF Schindler chain lift bearing LRJ-1.1/4/RHP RHP LRJ1.1/4J|44506|1|Ea|362.96
60649|REISER OUTBOARD FLANGED BEARING  N/A N/A|44266|Ea|745.78|
88328|Painting of the structure; including labour and ma 01EB304EX SKF Cooper 01EB304EX-Cooper|44423|Ea|362.96|
93348|All parts required for coil conveyor refurb  SKF TIH 220m|44359|Ea|1515.84|
60649|REISER INBOARD FLANGED BEARING N/A N/A N/A RHP or SKF|44386|1|Ea|1274.24
70866|Bearing KSR16L010101708-INA INA KSR16L010101708-INA|44386|Ea|342.43|
19723|Bearing  NA NA|44303|1|Ea|341.8
19727|Bearing Housing 51306 NTN N/A N/A|44922|Ea|362.96|
80445|Sleeve bearing JFM-0507-03  7206B2RSTVP 7206-B-2RS-TVP 7206-B-2RS-TVP|44858|1|Ea|745.78
25031|Bearings to fit SF9 housing UFL004SS FL004 C/W SU004 Insert FL004 C/W SU004 Insert|43489|Pack|1515.84|
55956|(DSCNTD) SKF Plummer block bearing housing seal kit 6207-2RS1-*SKF skf 6207 2rs|43425|Ea|1274.24|
19724|(DSCNTD) Bearing 4.055 NA 4.055|43452|ft|342.43|
19728|(DSCNTD) REPAIR- Re-assemble 3 Oscillator Shafts 32018X-TIMKEN TIMKEN 32018X-TIMKEN|43452|ft|342.43|
93349|(DSCNTD) 50-00062 6002zz bearing  L19  PM 750-8712 RS 750-8712|43369|ea|181.02|
70867|6mm Pitch Simplex Chain 04B-1 Ref 1282238 ARK.S SKF 6004-2RSH|43381|1|each|31.75
88329|04B-1-NO26 BS Simplex Chain Connecting Link  D70/30811 SKF 1208EKTN9|43528|ft|745.78|
22656|04B-1-NO12 BS Simplex Chain Single Cranked Co 6212DDU:NSK TBA TBA|43470|Ea|316.58|
74610|40 x LR5004NPPU INA  bearings NA435SW/432D Brammer NA435SW/432D|43573|Ea|6.76|
84724|CONVEYOR ROLLER HK2018 SKF HK2018R|43333|Ea|1228.65|
93345|External Circlip  01EB1100GR N/A N/A|152108|ea|181.02|
60646|liniar bearing FYTB25TF FYTB25TF FYTB25TF|43490|11|Ea|49.74
25031|BEARING, INA, KH0622PP 65620117300 Bizerba 65620117300|43426|Ea|1515.84|
55956|BEARING, HIWIN, MGN12CH-1501U8-60 63004-2RS1-SKF 63004-2RS1-SKF 63004-2RS1-SKF|43453|Ea|1274.24|
19724|Bearing NATR 10-PP-A(NATR10PPC98) GALSW6-FLURO FLURO GALSW6-FLURO|43453|Ea|342.43|
19728|bearing plug  99-2134 CKS-URS540 Urschel URS540|43370|Ea|342.43|
93349|Bearing end cap part number B00082N  FLURO GASW 6|43382|1|Ea|181.02
25031|Bearing   N/A N/A|43529|Pack|1515.84|
19728|6015 bearing shielded 3224000022 FRISTAM 1224000022|43471|ft|342.43|
60650|REPAIR-Billet Source Holders FJ  SKF 16101 2Z|43574|Ea|949.74|
42792|SKF Bearings 2200 E-2RS1TN9 XSP00003319 Kent Bearings XSP00003319|43334|Ea|362.96|
88329|BEARING  1263482 Maja 914-167|43491|ft|745.78|
22656|SKF Bearings NNF5007 ADA-2LSV 1021493 MACQUIP 1021493|43427|Ea|316.58|
74610|BEARING  ACORN INDUSTRIAL SERVICES n/a|43454|2|Ea|6.76
25304|7872405300 slide bearings . FC-IP-200-R FC-IP-200-R|43454|Ea|675.01|
88329|UCS204-012LD1NR ; INSERT BEARING MOUNTED UNIT ST02300087 MAYR Item 7|43371|Ea|745.78|
25031|Strip/Inspect-Gas Booster LT Gearbox MUFL004:ASA skf mufl004|43990|Ea|1515.84|
55956|REPAIR-Gas Booster LT Gearbox 1-1/4G100-CC TBA TBA|43926|1|Ea|1274.24
19724|Sealmaster Bearing QUOTE REF 14/06/2019/01 Oldham Engineering 14/06/2019/01|43953|Ea|342.43|
36203|Sealmaster bearing C005153 N/A C005153|43953|1|Ea|341.8
42792|bearing REPAIR Feltracon FELTR017|43870|Ea|362.96|
88329|needle roller bearing 24136CCK30/C3W33:SKF BRAMMER brammer|43882|1|Ea|745.78
88329|bearing E210 INOX 2RS 29488 EM 29488 EM 29488 EM|44029|14|ft|745.78
25031|PAF40260P11 Bearing bush flanged  Branded  6004 2 RS|43971|Pack|1515.84|
19728|needle roller bearing 24136CCK30/C3W33:SKF BRAMMER 24136CCK30/C3W33:SKF|44074|ft|342.43|
60650|12 inch air bearing 6211 Hayley  5472489-00|43834|11|Ea|949.74
42792|10 inch air bearing belt 300L050 HAYLEY belt 300L050|152609|Ea|362.96|
93345|Knob bearing table     20309MB-FAG FAG 20309|43991|6|ea|181.02
36203|Lubrication Grease  SKF 6206-2RS2|43927|1|Ea|341.8
60650|SKF Bearing W6004-2RS1/W64F-*SKF N/A N/A|43954|Ea|949.74|
88329|1002376  bearing bearings 6004-2RS-C3 N/A N/A|43954|ft|745.78|
93349|12 inch air bearing Item 3. Wiper Brush 89029120 Heason N/A|43871|ea|181.02|
60650|10 inch air bearing ROLLER REPAIR TO FIT BEARING HAYLEY'S ROLLER REPAIR TO FIT BEARING|43883|Ea|949.74|
70867|12 inch air bearing Screw tube for screw conveyor Hellmich Screw Tube for screw conveyor. HKD 25.000-180|44030|each|31.75|
19724|KOYO UCFC 205 BEARINGS 7206BECBM-*SKF skf 7206 BECBM 2rs|43972|Ea|342.43|
19728|1044427 thrust bearing S275JR N/A 302/28.01/16|44075|Ea|342.43|
80446|SKF BEARING PULLER LME25U N/A N/A|43835|Ea|4.48|
42792|BEARING ASSY, LINEAR -STO - BMA3085118 01EB65MMEX 65mm series 01 EX  65mm series 01 EX|43992|1|Ea|362.96
88329|sl55 bearing CZ003941 N/A CZ003941|43928|Ea|745.78|
42792|(DSCNTD) BEARING ASSY, LINEAR - STO -BMA3086476 02B70MMGR 70mm series 02 GR 70mm series 02 GR|43955|Ea|362.96|
60650|(DSCNTD) HOUSED BEARING SL55 SCOTT N/A N/A|43955|Ea|1515.84|
88329|(DSCNTD) HOUSED BEARING 31038 N/A N/A|43872|1|Ea|1274.24
93349|Bearings TIHT1 N/A N/A|44410|Ea|342.43|
60650|(DSCNTD) Bearings bearing to bearing c/w karabiners N/A bearing to bearing c/w karabiners|44346|1|Ea|341.8
70867|Bearings MR Labbeller Multivac Machine:  MR635|44373|Ea|362.96|
19724|bearing 6202 srs  G12X18X3 INA G12X18X3 - INA Needle Bearing Seal|44373|1|Ea|745.78
19728|Bearings  MOBIL Polyrex EM|44385|14|ft|745.78
80446|Bearings 875 VC 3830 BELT/PULLEY 38/13/875 VSB BELT N/A N/A|44397|Pack|1515.84|
42792|"23080CC/W33:SKF bearing A341780	  LAG 21242HEFR"|44449|ft|342.43|
88329|29488EM:SKF bearing N/A MANIA N/A|44391|11|Ea|949.74
42792|Bearings  W6202-2RS1/W64F-*SKF N/A N/A|44494|Ea|362.96|
60650|Acorn industrial services quotation  SKF SNL522-619|44254|6|ea|181.02
88329|Bearing cover C6011075900045 GEC C6011075900045|153029|1|Ea|341.8
93349|Angular ball bearing FM20 Hepco FM20|44411|Ea|949.74|
60650|Cylinder roller bearing JOURNAL ASSEMBLY GBHJ195ENS HepcoMotion GBHJ195ENS|44347|ft|745.78|
70867|Bearing cover  handtmann 822878|44374|ea|181.02|
19724|Bearing 23120CC/W33:SKF NA NA|44374|Ea|949.74|
19728|Acorn industrial services quotation THRUST BEARING WASHER SKF GS81105|44291|each|31.75|
80446|Linear Ball Bearing 32216:TIM BRAMMER 32216:TIM|44303|Ea|342.43|
42792|Killeen INV April 2019  SKF SNL 216|44450|Ea|342.43|
88329|537-3GT-9 timing belt 32216-Timken TIMKEN 32216-timken|44392|Ea|4.48|
42792|REPAIR-FM SPINDLE B 618/8-*SKF SKF  SKF 618/8|44495|1|Ea|362.96
60650|51105 BALL BEARING 29386-35 Haskel 29386-35|44255|Ea|745.78|
88329|Bearing  FLURO GISW 6|44412|Ea|362.96|
93349|Needle Bearing Seal G12X18X3 600140 BRADMAN LAKE 600140|44348|Ea|1515.84|
60650|BEARING 44420 ACTIVATE LUBRICANTS 44420|44375|1|Ea|1274.24
70867|REPAIR- Overhaul RT5 Primary motor 6208-2Z/C3WT-*SKF SKF 6208-2Z/C3WT|44375|Ea|342.43|
19724|Shims for HIP Bearing Project 01B40MMEX 01B40MMEX 01B40MMEX|44292|1|Ea|341.8
19728|Idler sprocket (LER)TRAYWASH PUMP REPAIRS - MB/11605 BRETTEX MB/11605|44911|Ea|362.96|
80446|Bearings 2204e2rstn9 SKF 2204E-2RS1|43509|1|Ea|745.78
25034|Bearings 6313/C5-SKF SKF 6313/C5-SKF|43445|Pack|1515.84|
55959|fan bearings  QUOTE EMAIL 19.7.19 N/A QUOTE EMAIL 19.7.19|43472|Ea|1274.24|
19727|Induction heater trolley  6306-2Z/C3WT-*SKF SKF 6306-2Z/C3WT|43472|ft|342.43|
19731|Bearing, 1-1/2, 4 bolt flange.  FLURO GALW 8|43389|ft|342.43|
93352|QUOTE CQU0007703 -  Bearing CZ013097 HOPPE-ARRONE 87139200|43401|ea|181.02|
70870|As per sample (Stud with internal threading)  6202-2RSH-*SKF Bearing SKF 6202-2RSH|43548|1|each|31.75
88332|BEARING ASSY, - DUN - BMA3014105  1208ETN9-SKF  N/A N/A|43490|ft|745.78|
22659|1021351 ball bearing. 2C210005045 CFT SPA 2C210005045|43593|Ea|316.58|
74613|Shims for HIP Bearing Project 01B40MMGR 01B40MMGR 01B40MMGR|43353|Ea|6.76|
84727|6209ZZC3:NSK Bearing LAG33616FR town and county LAG33616FR|152128|Ea|1228.65|
93348|LOAD ROLLER 70 X 100 75GG-10407 SKF 75GG-10407|43510|ea|181.02|
60649|Bearing  51306 N/A N/A|43446|11|Ea|49.74
25034|Metric bearing cap closed 52614392 R&N C206-M-10718 C4 Part Number 52614392 Rework|43473|Ea|1515.84|
55959|Thrust ball bearing  22216EK SKF 22216EK|43473|Ea|1274.24|
19727|BEARING HOUSING  St/ST 28mm Conveyor Rollers supplied cw 2 brgs + a R & N ENGINEERING N/A|43390|Ea|342.43|
19731|BEARING CAP Phosphorous bronze cast half shells R & R Bearings  None|43402|Ea|342.43|
93352|SEALMASTER FLANGE BEARINGS  N/A N/A|43549|1|Ea|181.02
25034|Carriage 1215K:SKF SKF 1215K|43491|Pack|1515.84|
19731|Ball bearing   04B-1CL WIT N/A N/A|43594|ft|342.43|
60653|ST50 BEARING 30210 N/A N/A|43354|Ea|949.74|
42795|Ball bearing 300L050 N/A N/A|43511|Ea|362.96|
88332|Ball Bearing c6011110900005 n/a REPAIR QUOTE EL72425|43447|ft|745.78|
22659|Needle Roller bearing AIR BEARING lloyd&jones #|43474|Ea|316.58|
74613|Needle bearing FT-20AEXSULEB-0 Phoenix Flow FT-20AEXSULEB-0|43474|2|Ea|6.76
25307|Bearing 3206J:NSK Brammer  3206J:NSK|43391|Ea|675.01|
88332|LINEAR SELF-LUBE FLANGE BLOCK BEARING LF8-SL PHEY40 INA PHEY 40mm|44010|Ea|745.78|
25034|REXROTH LINEAR BEARINGS NOT AVAILABLE SIEMENS 1LA6 253 2AB60|43946|Ea|1515.84|
55959|Linear bearing 7206B2RSTVP 7206-B-2RS-TVP 7206-B-2RS-TVP|43973|1|Ea|1274.24
19727|OK ENG DOC 007364 CLOSE 6008 2RS stainless steel  SKF 6008 2RS stainless steel|43973|Ea|342.43|
36206|6807z bearing  Marel AC9946998|43890|1|Ea|341.8
42795|SNP35 BEARING CZ005997 N/A CZ005997|43902|Ea|362.96|
88332|Bearing, 6006-2RS Supply of all parts mentioned in the scope of work N/A N/A|44049|1|Ea|745.78
88332|Bearing, 6302-2RS PL2134/840-L10 N/A PL2134/840-L10|43991|14|ft|745.78
